margREX,n,landing,coverage
BRG,6,0,0.833333333333333
MNT,88,311,0.897727272727273
MRO,64,0,1
OSF,52,0,1
HKL,1,0,1
NET,8,0,1
TWL,201,311,0.950248756218905
1978,57,311,0.842105263157895
1980,61,0,0.983606557377049
1981,42,0,1
1982,50,0,1
Q1,43,311,0.976744186046512
Q2,73,0,0.89041095890411
Q3,54,0,0.981481481481482
Q4,40,0,1
