"marginalMXRF","n","landing","coverage"
"BDG",9,0,0
"BRG",326,15828,0.43558282208589
"CRS",50,0,0.06
"ERK",323,0,0.430340557275542
"MNT",108,0,0.509259259259259
"MRO",138,0,0.536231884057971
"OSF",29,0,0.137931034482759
"HKL",110,0,0.481818181818182
"NET",6,0,0.5
"TWL",867,15828,0.416378316032295
"1978",124,0,0.564516129032258
"1979",102,0,0.245098039215686
"1980",271,15828,0.387453874538745
"1981",237,0,0.426160337552743
"1982",249,0,0.465863453815261
"Q1",162,0,0.327160493827161
"Q2",289,6676,0.422145328719723
"Q3",340,9152,0.373529411764706
"Q4",192,0,0.598958333333333
