"marginalLSPN","n","landing","coverage"
"BDG",9,0,0
"BRG",326,432,0.429447852760736
"CRS",50,0,0.42
"ERK",323,0,0.613003095975232
"MNT",108,0,0.37037037037037
"MRO",138,0,0.289855072463768
"OSF",29,0,0.310344827586207
"HKL",110,0,0.281818181818182
"NET",6,0,0.666666666666667
"TWL",867,432,0.476355247981546
"1978",124,163,0.774193548387097
"1979",102,0,0.450980392156863
"1980",271,269,0.309963099630996
"1981",237,0,0.354430379746835
"1982",249,0,0.55421686746988
"Q1",162,0,0.290123456790123
"Q2",289,0,0.487889273356401
"Q3",340,269,0.535294117647059
"Q4",192,163,0.40625
