margCNRY,n,landing,coverage
BDG,9,66834,0.888888888888889
BRG,326,1975794,0.947852760736196
CRS,50,1398777,0.78
ERK,323,1577283,0.888544891640867
MNT,108,20852,0.990740740740741
MRO,138,100136,1
OSF,29,7637,0.96551724137931
HKL,110,132906,0.990909090909091
NET,6,0,1
TWL,867,5014407,0.923875432525952
1978,124,1259855,0.879032258064516
1979,102,626077,0.96078431372549
1980,271,615166,0.937269372693727
1981,237,1146147,0.915611814345992
1982,249,1500068,0.955823293172691
Q1,162,848186,0.944444444444444
Q2,289,1937730,0.913494809688581
Q3,340,1978133,0.920588235294118
Q4,192,383264,0.96875
