margGRAS,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.374233128834356
CRS,50,0,0.14
ERK,323,1251,0.501547987616099
MNT,108,0,0.546296296296296
MRO,138,0,0.289855072463768
OSF,29,0,0.275862068965517
HKL,110,0,0.290909090909091
NET,6,0,0
TWL,867,1251,0.426758938869666
1978,124,0,0.0887096774193548
1979,102,0,0.284313725490196
1980,271,0,0.560885608856089
1981,237,0,0.261603375527426
1982,249,1251,0.594377510040161
Q1,162,0,0.376543209876543
Q2,289,1251,0.484429065743945
Q3,340,0,0.426470588235294
Q4,192,0,0.291666666666667
