"marginalROSY","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.429447852760736
"CRS",50,0,0.42
"ERK",323,0,0.724458204334365
"MNT",108,0,0.462962962962963
"MRO",138,321,0.58695652173913
"OSF",29,0,0.482758620689655
"HKL",110,321,0.654545454545455
"NET",6,0,0.5
"TWL",867,0,0.537485582468281
"1978",124,0,0.225806451612903
"1979",102,0,0.803921568627451
"1980",271,60,0.520295202952029
"1981",237,136,0.738396624472574
"1982",249,125,0.461847389558233
"Q1",162,125,0.740740740740741
"Q2",289,0,0.602076124567474
"Q3",340,60,0.476470588235294
"Q4",192,136,0.442708333333333
