margBANK,n,landing,coverage
BDG,4,97108,0.25
BRG,6,0,0.833333333333333
MNT,95,1044209,0.715789473684211
MRO,77,468179,0.714285714285714
OSF,63,65492,0.952380952380952
HKL,1,0,1
NET,8,0,1
TWL,236,1674988,0.76271186440678
1978,57,385011,0.807017543859649
1980,61,5164,0.967213114754098
1981,42,670022,0.761904761904762
1982,50,452819,0.72
1983,18,29264,0.777777777777778
1984,6,109188,0.166666666666667
1985,11,23520,0.0909090909090909
Q1,55,188769,0.727272727272727
Q2,86,395690,0.720930232558139
Q3,59,523624,0.830508474576271
Q4,45,566905,0.844444444444444
