margSHRP,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,3698,0.457055214723926
CRS,50,0,0.4
ERK,323,0,0.606811145510836
MNT,108,0,0.333333333333333
MRO,138,0,0.594202898550725
OSF,29,0,0.379310344827586
HKL,110,0,0.663636363636364
NET,6,0,0.333333333333333
TWL,867,3698,0.489042675893887
1978,124,0,0.451612903225806
1979,102,3698,0.715686274509804
1980,271,0,0.439114391143911
1981,237,0,0.459915611814346
1982,249,0,0.570281124497992
Q1,162,0,0.635802469135803
Q2,289,0,0.346020761245675
Q3,340,1139,0.555882352941176
Q4,192,2559,0.557291666666667
