"marginalSWSP","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.914110429447853
"CRS",50,0,1
"ERK",323,0,0.972136222910217
"MNT",108,0,0.953703703703704
"MRO",138,0,0.898550724637681
"OSF",29,0,0.862068965517241
"HKL",110,0,0.863636363636364
"NET",6,0,1
"TWL",867,0,0.948096885813149
"1978",124,0,0.903225806451613
"1979",102,0,0.92156862745098
"1980",271,0,0.966789667896679
"1981",237,0,0.90295358649789
"1982",249,0,0.967871485943775
"Q1",162,0,0.950617283950617
"Q2",289,0,0.878892733564014
"Q3",340,0,0.979411764705882
"Q4",192,0,0.947916666666667
