margRDBD,n,landing,coverage
BDG,56,1809,1
BRG,457,109090,0.991247264770241
CRS,82,170178,0.914634146341463
ERK,594,451612,0.951178451178451
MNT,344,786,1
MRO,266,45573,0.958646616541353
OSF,104,0,1
HKL,138,13346,1
NET,47,1748,1
TWL,1718,763954,0.970314318975553
1978,124,19636,0.975806451612903
1979,102,15938,1
1980,271,48975,0.977859778597786
1981,237,264477,0.962025316455696
1982,249,16910,0.987951807228916
1983,312,193803,0.971153846153846
1984,277,78908,0.967509025270758
1985,331,140401,0.963746223564955
Q1,339,143962,0.985250737463127
Q2,531,216794,0.977401129943503
Q3,645,352541,0.961240310077519
Q4,388,65751,0.97680412371134
