margRDBD,n,landing,coverage
BDG,56,1809,0.964285714285714
BRG,457,109090,0.936542669584245
CRS,82,170178,0.731707317073171
ERK,594,451612,0.786195286195286
MNT,344,786,0.988372093023256
MRO,266,45573,0.868421052631579
OSF,104,0,1
HKL,138,13346,0.942028985507246
NET,47,1748,0.978723404255319
TWL,1718,763954,0.877764842840512
1978,124,19636,0.895161290322581
1979,102,15938,0.892156862745098
1980,271,48975,0.929889298892989
1981,237,264477,0.919831223628692
1982,249,16910,0.931726907630522
1983,312,193803,0.846153846153846
1984,277,78908,0.866425992779783
1985,331,140401,0.833836858006042
Q1,339,143962,0.920353982300885
Q2,531,216794,0.890772128060264
Q3,645,352541,0.848062015503876
Q4,388,65751,0.907216494845361
