margVRML,n,landing,coverage
BDG,4,0,0.25
BRG,6,0,0.5
MNT,95,0,0.705263157894737
MRO,77,56066,0.714285714285714
OSF,63,21191,0.634920634920635
HKL,1,9249,0
NET,8,0,1
TWL,236,68008,0.669491525423729
1978,57,0,0.43859649122807
1980,61,77257,0.868852459016393
1981,42,0,0.904761904761905
1982,50,0,0.78
1983,18,0,0.444444444444444
1984,6,0,0.5
1985,11,0,0
Q1,55,18759,0.490909090909091
Q2,86,46817,0.779069767441861
Q3,59,11681,0.76271186440678
Q4,45,0,0.6
