margVRML,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,0,1
MRO,77,56066,0.974025974025974
OSF,63,21191,0.968253968253968
HKL,1,9249,0
NET,8,0,1
TWL,236,68008,0.98728813559322
1978,57,0,1
1980,61,77257,0.934426229508197
1981,42,0,1
1982,50,0,1
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,18759,0.963636363636364
Q2,86,46817,0.988372093023256
Q3,59,11681,0.983050847457627
Q4,45,0,1
