margSWSP,n,landing,coverage
BDG,56,0,0.357142857142857
BRG,457,0,0.203501094091904
CRS,82,0,0.0853658536585366
ERK,594,0,0.193602693602694
MNT,344,0,0.142441860465116
MRO,266,0,0.169172932330827
OSF,104,0,0.221153846153846
HKL,138,0,0.268115942028986
NET,47,0,0.234042553191489
TWL,1718,0,0.176949941792782
1978,124,0,0.169354838709677
1979,102,0,0.284313725490196
1980,271,0,0.136531365313653
1981,237,0,0.0379746835443038
1982,249,0,0.220883534136546
1983,312,0,0.326923076923077
1984,277,0,0.180505415162455
1985,331,0,0.148036253776435
Q1,339,0,0.206489675516224
Q2,531,0,0.291902071563089
Q3,645,0,0.0790697674418605
Q4,388,0,0.195876288659794
