margSWSP,n,landing,coverage
BDG,56,0,0.964285714285714
BRG,457,0,0.862144420131291
CRS,82,0,0.914634146341463
ERK,594,0,0.947811447811448
MNT,344,0,0.909883720930233
MRO,266,0,0.947368421052632
OSF,104,0,0.798076923076923
HKL,138,0,0.934782608695652
NET,47,0,0.872340425531915
TWL,1718,0,0.910360884749709
1978,124,0,0.806451612903226
1979,102,0,0.911764705882353
1980,271,0,0.977859778597786
1981,237,0,0.932489451476793
1982,249,0,0.923694779116466
1983,312,0,0.932692307692308
1984,277,0,0.855595667870036
1985,331,0,0.897280966767372
Q1,339,0,0.887905604719764
Q2,531,0,0.92090395480226
Q3,645,0,0.928682170542636
Q4,388,0,0.889175257731959
