margBCAC,n,landing,coverage
BDG,12,807024,0.75
BRG,401,5615620,0.937655860349127
CRS,60,795307,0.983333333333333
ERK,459,3573162,0.956427015250545
MNT,163,3469894,0.926380368098159
MRO,164,2021267,0.878048780487805
OSF,36,2214878,0.861111111111111
HKL,124,1115971,0.919354838709677
NET,14,412087,1
TWL,1157,16969094,0.934312878133103
1978,124,1320166,0.911290322580645
1979,102,1408999,0.92156862745098
1980,271,2700181,0.944649446494465
1981,237,5193394,0.924050632911392
1982,249,3670793,0.939759036144578
1983,312,4203619,0.939102564102564
Q1,228,3760186,0.921052631578947
Q2,390,5051640,0.928205128205128
Q3,437,5899136,0.931350114416476
Q4,240,3786190,0.958333333333333
