margBCAC,n,landing,coverage
BDG,12,807024,0.416666666666667
BRG,401,5615620,0.638403990024938
CRS,60,795307,0.866666666666667
ERK,459,3573162,0.758169934640523
MNT,163,3469894,0.607361963190184
MRO,164,2021267,0.49390243902439
OSF,36,2214878,0.5
HKL,124,1115971,0.604838709677419
NET,14,412087,0.785714285714286
TWL,1157,16969094,0.668107173725151
1978,124,1320166,0.612903225806452
1979,102,1408999,0.696078431372549
1980,271,2700181,0.715867158671587
1981,237,5193394,0.683544303797468
1982,249,3670793,0.594377510040161
1983,312,4203619,0.666666666666667
Q1,228,3760186,0.671052631578947
Q2,390,5051640,0.67948717948718
Q3,437,5899136,0.624713958810069
Q4,240,3786190,0.7
