margYTRK,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,184639,0.947368421052632
MRO,77,31279,0.987012987012987
OSF,63,44748,0.952380952380952
HKL,1,0,1
NET,8,157399,0.375
TWL,236,103267,0.983050847457627
1978,57,45369,0.912280701754386
1980,61,20104,1
1981,42,55925,0.976190476190476
1982,50,138441,0.96
1983,18,827,0.944444444444444
1984,6,0,1
1985,11,0,1
Q1,55,189155,0.963636363636364
Q2,86,33232,0.930232558139535
Q3,59,34690,0.983050847457627
Q4,45,3589,1
