margEGLS,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.871165644171779
CRS,50,0,1
ERK,323,0,0.820433436532508
MNT,108,1398,0.972222222222222
MRO,138,0,0.833333333333333
OSF,29,0,1
HKL,110,0,0.872727272727273
NET,6,0,1
TWL,867,1398,0.870818915801615
1978,124,0,0.661290322580645
1979,102,0,0.745098039215686
1980,271,1398,0.955719557195572
1981,237,0,0.983122362869198
1982,249,0,0.831325301204819
Q1,162,0,0.987654320987654
Q2,289,0,0.847750865051903
Q3,340,1398,0.770588235294118
Q4,192,0,0.989583333333333
