margURCK,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.273006134969325
CRS,50,44,0.08
ERK,323,0,0.430340557275542
MNT,108,0,0.37037037037037
MRO,138,0,0.347826086956522
OSF,29,0,0.241379310344828
HKL,110,0,0.372727272727273
NET,6,0,0.166666666666667
TWL,867,44,0.333333333333333
1978,124,0,0.00806451612903226
1979,102,0,0.352941176470588
1980,271,44,0.22140221402214
1981,237,0,0.468354430379747
1982,249,0,0.493975903614458
Q1,162,0,0.382716049382716
Q2,289,0,0.328719723183391
Q3,340,44,0.258823529411765
Q4,192,0,0.447916666666667
