margBLCK,n,landing,coverage
BDG,9,0,1
BRG,326,1297,0.996932515337423
CRS,50,175058,0.92
ERK,323,1513311,0.888544891640867
MNT,108,0,1
MRO,138,66,0.992753623188406
OSF,29,0,0.96551724137931
HKL,110,115909,0.972727272727273
NET,6,0,1
TWL,867,1573823,0.953863898500577
1978,124,232338,0.959677419354839
1979,102,238,0.990196078431373
1980,271,103623,0.96309963099631
1981,237,984858,0.962025316455696
1982,249,368675,0.927710843373494
Q1,162,693623,0.969135802469136
Q2,289,307900,0.958477508650519
Q3,340,266950,0.944117647058824
Q4,192,421259,0.963541666666667
