"marginalBLGL","n","landing","coverage"
"BRG",6,0,1
"MNT",88,33566,0.954545454545455
"MRO",64,43210,0.953125
"OSF",52,1093,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,77869,0.960199004975124
"1978",57,27793,0.982456140350877
"1980",61,23574,0.983606557377049
"1981",42,10625,0.976190476190476
"1982",50,15877,0.9
"Q1",43,9011,0.976744186046512
"Q2",73,33027,0.931506849315068
"Q3",54,1632,1
"Q4",40,34199,0.95
