"marginalQLBK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,232,0.941717791411043
"CRS",50,0,1
"ERK",323,0,1
"MNT",108,0,0.990740740740741
"MRO",138,0,0.934782608695652
"OSF",29,0,0.931034482758621
"HKL",110,0,0.963636363636364
"NET",6,0,1
"TWL",867,232,0.968858131487889
"1978",124,232,0.991935483870968
"1979",102,0,0.823529411764706
"1980",271,0,0.992619926199262
"1981",237,0,0.991561181434599
"1982",249,0,0.967871485943775
"Q1",162,232,0.95679012345679
"Q2",289,0,1
"Q3",340,0,0.929411764705882
"Q4",192,0,1
