"marginalQLBK","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,232,0.193251533742331
"CRS",50,0,0.22
"ERK",323,0,0.0959752321981424
"MNT",108,0,0.240740740740741
"MRO",138,0,0.130434782608696
"OSF",29,0,0.241379310344828
"HKL",110,0,0.0909090909090909
"NET",6,0,0.666666666666667
"TWL",867,232,0.168396770472895
"1978",124,232,0.0483870967741935
"1979",102,0,0.0784313725490196
"1980",271,0,0.210332103321033
"1981",237,0,0.0253164556962025
"1982",249,0,0.333333333333333
"Q1",162,232,0.0987654320987654
"Q2",289,0,0.311418685121107
"Q3",340,0,0.0764705882352941
"Q4",192,0,0.145833333333333
