margCWCD,n,landing,coverage
BRG,6,0,1
MNT,88,371,1
MRO,64,11917,0.984375
OSF,52,21861,0.980769230769231
HKL,1,1490,1
NET,8,0,1
TWL,201,32659,0.990049751243781
1978,57,22066,0.982456140350877
1980,61,1490,1
1981,42,10427,0.976190476190476
1982,50,166,1
Q1,43,1695,1
Q2,73,21861,0.986301369863014
Q3,54,0,1
Q4,40,10593,0.975
