"marginalFLAG","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.95398773006135
"CRS",50,1522,0.96
"ERK",323,293,0.86687306501548
"MNT",108,0,0.916666666666667
"MRO",138,2013,0.833333333333333
"OSF",29,0,0.689655172413793
"HKL",110,1682,0.790909090909091
"NET",6,0,0.833333333333333
"TWL",867,2146,0.910034602076125
"1978",124,0,0.790322580645161
"1979",102,0,0.843137254901961
"1980",271,331,0.940959409594096
"1981",237,1742,0.915611814345992
"1982",249,1755,0.903614457831325
"Q1",162,526,0.876543209876543
"Q2",289,1522,0.844290657439446
"Q3",340,599,0.952941176470588
"Q4",192,1181,0.890625
