species,mad
REDS,8.51096846156371e-06
SBLY,8.54556490415711e-06
ROSY,8.61776583433784e-06
ARRA,8.62266804917412e-06
GSPT,8.62938278179299e-06
FLAG,8.6919624625024e-06
MXRF,8.71416437089641e-06
GSRK,8.75393510415856e-06
RSTN,8.79797937345061e-06
RDBD,9.02071095317992e-06
STRK,9.0252753875868e-06
BLGL,9.18899371110516e-06
SNOS,9.23577127933612e-06
COPP,9.24483305126209e-06
BRWN,9.29339862678442e-06
STAR,9.36756476648357e-06
GBLC,9.38305886062822e-06
POP,9.50652925712309e-06
YTRK,9.69317275741969e-06
BANK,1.02380082386919e-05
OLVE,1.04890252222816e-05
DBRK,1.11359754756926e-05
CLPR,1.1378281684236e-05
REYE,1.16505743021085e-05
CWCD,1.18746160523603e-05
BLUR,1.19623399255512e-05
BLCK,1.21232347806965e-05
BCAC,1.27067429670338e-05
WDOW,1.27684780076157e-05
VRML,1.32311358320418e-05
SLGR,1.36428975187868e-05
YEYE,1.40574808924994e-05
CNRY,1.44712141703273e-05
BRNZ,1.47791335266375e-05
YMTH,1.5727857941544e-05
SHRP,1.65070227860822e-05
TIGR,1.65358518923528e-05
QLBK,1.68045614952294e-05
SWSP,1.90405477472179e-05
GRAS,3.03779599865048e-05
SPKL,3.24338472422232e-05
