"species","mad"
"BCAC",3.79998836377629e-05
"RDBD",4.21733071970702e-05
"GSPT",4.23537785398742e-05
"DBRK",4.38420756869242e-05
"GSRK",4.50255068220018e-05
"CLPR",4.54792371379554e-05
"STRK",4.58931104874554e-05
"POP",4.59163918501455e-05
"CNRY",4.62638230425309e-05
"SNOS",4.62990571586679e-05
"BLCK",4.74647107942141e-05
"YTRK",4.80493265211825e-05
"YEYE",4.892239210594e-05
"WDOW",4.960892829597e-05
"VRML",5.02940354723183e-05
"BANK",5.04011561638526e-05
"BLUR",5.19002336228776e-05
"CWCD",5.25549811775332e-05
"LCOD",5.27137171927543e-05
"SSPN",5.30053284438542e-05
"STAR",5.38466903380579e-05
"ARRA",5.39091013231641e-05
"BLGL",5.42924698616135e-05
"COPP",5.65021178964232e-05
"GBLC",5.6704445669202e-05
"OLVE",5.78159931283066e-05
"FLAG",5.82391789279857e-05
"SPKL",6.1006609750804e-05
"BRWN",6.79395191574932e-05
"REDS",6.90888607607174e-05
"SBLY",8.83542228471807e-05
"LSPN",9.04952716591193e-05
"ROSY",9.10345584563532e-05
"MXRF",9.17547508891509e-05
"TIGR",9.32829078598872e-05
"RSTN",9.45328874579148e-05
"EGLS",9.51519802847757e-05
"URCK",9.59684513435637e-05
"GRAS",9.60308929923728e-05
"SLGR",9.91846070760219e-05
"QLBK",0.000100665799632548
"CBZN",0.000104101783236197
"REYE",0.000104856734901485
"YMTH",0.000105076985633088
"SHRP",0.000106210135248051
"SWSP",0.000107772001662802
"REX",0.000108651139147352
"BRNZ",0.000110570961864473
