species,year,n,landing,coverage
ROSY,1982,249,11122887,0.995983935742972
RSTN,1978,124,5863246,0.991935483870968
RSTN,1979,102,8086821,0.990196078431373
RSTN,1980,271,18891334,1
RSTN,1981,237,16465988,1
RSTN,1982,249,11122887,0.991967871485944
SBLY,1978,124,5863246,0.983870967741935
SBLY,1979,102,8086821,1
SBLY,1980,271,18891334,1
SBLY,1981,237,16465988,1
SBLY,1982,249,11122887,0.991967871485944
SHRP,1978,124,5863246,1
SHRP,1979,102,8086821,0.980392156862745
SHRP,1980,271,18891334,0.996309963099631
SHRP,1981,237,16465988,0.957805907172996
SHRP,1982,249,11122887,0.991967871485944
SLGR,1978,124,5863246,0.814516129032258
SLGR,1979,102,8086821,0.941176470588235
SLGR,1980,271,18891334,0.996309963099631
SLGR,1981,237,16465988,0.789029535864979
SLGR,1982,249,11122887,0.987951807228916
SNOS,1978,124,5863246,0.983870967741935
SNOS,1979,102,8086821,1
SNOS,1980,271,18891334,0.966789667896679
SNOS,1981,237,16465988,0.940928270042194
SNOS,1982,249,11122887,0.959839357429719
SPKL,1978,124,5863246,0.959677419354839
SPKL,1979,102,8086821,0.941176470588235
SPKL,1980,271,18891334,0.988929889298893
SPKL,1981,237,16465988,0.978902953586498
SPKL,1982,249,11122887,0.955823293172691
SSPN,1978,124,5863246,0.991935483870968
SSPN,1979,102,8086821,1
SSPN,1980,271,18891334,0.988929889298893
SSPN,1981,237,16465988,1
SSPN,1982,249,11122887,0.987951807228916
STAR,1978,124,5863246,1
STAR,1979,102,8086821,0.990196078431373
STAR,1980,271,18891334,0.996309963099631
STAR,1981,237,16465988,0.978902953586498
STAR,1982,249,11122887,0.991967871485944
STRK,1978,124,5863246,0.975806451612903
STRK,1979,102,8086821,0.96078431372549
STRK,1980,271,18891334,0.981549815498155
STRK,1981,237,16465988,1
STRK,1982,249,11122887,0.971887550200803
SWSP,1978,124,5863246,0.870967741935484
SWSP,1979,102,8086821,0.970588235294118
SWSP,1980,271,18891334,0.985239852398524
SWSP,1981,237,16465988,0.814345991561181
SWSP,1982,249,11122887,0.951807228915663
TIGR,1978,124,5863246,0.991935483870968
TIGR,1979,102,8086821,0.882352941176471
TIGR,1980,271,18891334,1
TIGR,1981,237,16465988,0.9957805907173
TIGR,1982,249,11122887,0.943775100401606
URCK,1978,124,5863246,0.967741935483871
URCK,1979,102,8086821,1
URCK,1980,271,18891334,0.944649446494465
URCK,1981,237,16465988,0.936708860759494
URCK,1982,249,11122887,0.967871485943775
VRML,1978,124,5863246,0.983870967741935
VRML,1979,102,8086821,0.950980392156863
VRML,1980,271,18891334,0.944649446494465
VRML,1981,237,16465988,0.936708860759494
VRML,1982,249,11122887,0.939759036144578
WDOW,1978,124,5863246,0.967741935483871
WDOW,1979,102,8086821,0.882352941176471
WDOW,1980,271,18891334,0.874538745387454
WDOW,1981,237,16465988,0.873417721518987
WDOW,1982,249,11122887,0.983935742971888
YEYE,1978,124,5863246,0.983870967741935
YEYE,1979,102,8086821,0.96078431372549
YEYE,1980,271,18891334,0.955719557195572
YEYE,1981,237,16465988,0.974683544303797
YEYE,1982,249,11122887,0.967871485943775
YMTH,1978,124,5863246,0.991935483870968
YMTH,1979,102,8086821,0.941176470588235
YMTH,1980,271,18891334,0.977859778597786
YMTH,1981,237,16465988,0.822784810126582
YMTH,1982,249,11122887,0.943775100401606
YTRK,1978,124,5863246,0.991935483870968
YTRK,1979,102,8086821,0.980392156862745
YTRK,1980,271,18891334,0.966789667896679
YTRK,1981,237,16465988,0.966244725738397
YTRK,1982,249,11122887,0.971887550200803
