"marginalREX","n","landing","coverage"
"BRG",6,0,0.833333333333333
"MNT",88,311,0.636363636363636
"MRO",64,0,0.53125
"OSF",52,0,0.480769230769231
"HKL",1,0,0
"NET",8,0,0.75
"TWL",201,311,0.567164179104478
"1978",57,311,0.596491228070175
"1980",61,0,0.655737704918033
"1981",42,0,0.285714285714286
"1982",50,0,0.68
"Q1",43,311,0.674418604651163
"Q2",73,0,0.63013698630137
"Q3",54,0,0.574074074074074
"Q4",40,0,0.35
