margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.598159509202454
CRS,50,1398777,0.4
ERK,323,1577283,0.609907120743034
MNT,108,20852,0.972222222222222
MRO,138,100136,0.920289855072464
OSF,29,7637,0.827586206896552
HKL,110,132906,0.9
NET,6,0,1
TWL,867,5014407,0.656286043829296
1978,124,1259855,0.508064516129032
1979,102,626077,0.715686274509804
1980,271,615166,0.671586715867159
1981,237,1146147,0.763713080168776
1982,249,1500068,0.70281124497992
Q1,162,848186,0.783950617283951
Q2,289,1937730,0.685121107266436
Q3,340,1978133,0.605882352941176
Q4,192,383264,0.744791666666667
