margCLPR,n,landing,coverage
BDG,9,160601,0.222222222222222
BRG,326,5460561,0.226993865030675
CRS,50,18822,0.86
ERK,323,1278213,0.730650154798762
MNT,108,1573782,0.231481481481481
MRO,138,841860,0.492753623188406
OSF,29,837157,0.379310344827586
HKL,110,597138,0.572727272727273
NET,6,0,1
TWL,867,9573858,0.449826989619377
1978,124,1172492,0.32258064516129
1979,102,2327247,0.303921568627451
1980,271,2560887,0.457564575645756
1981,237,2252765,0.586497890295359
1982,249,1857605,0.502008032128514
Q1,162,2134234,0.444444444444444
Q2,289,2254890,0.498269896193772
Q3,340,3183438,0.479411764705882
Q4,192,2598434,0.416666666666667
