margCLPR,n,landing,coverage
BDG,9,160601,0.888888888888889
BRG,326,5460561,0.662576687116564
CRS,50,18822,1
ERK,323,1278213,0.931888544891641
MNT,108,1573782,0.824074074074074
MRO,138,841860,0.891304347826087
OSF,29,837157,0.862068965517241
HKL,110,597138,0.909090909090909
NET,6,0,1
TWL,867,9573858,0.814302191464821
1978,124,1172492,0.790322580645161
1979,102,2327247,0.705882352941177
1980,271,2560887,0.797047970479705
1981,237,2252765,0.877637130801688
1982,249,1857605,0.875502008032129
Q1,162,2134234,0.851851851851852
Q2,289,2254890,0.885813148788927
Q3,340,3183438,0.811764705882353
Q4,192,2598434,0.739583333333333
