"marginalREX","n","landing","coverage"
"BRG",6,0,0.666666666666667
"MNT",88,311,0.647727272727273
"MRO",64,0,0.46875
"OSF",52,0,0.576923076923077
"HKL",1,0,0
"NET",8,0,1
"TWL",201,311,0.562189054726368
"1978",57,311,0.824561403508772
"1980",61,0,0.491803278688525
"1981",42,0,0.619047619047619
"1982",50,0,0.36
"Q1",43,311,0.372093023255814
"Q2",73,0,0.643835616438356
"Q3",54,0,0.666666666666667
"Q4",40,0,0.55
