margARRA,n,landing,coverage
BRG,6,0,0
MNT,88,0,0.522727272727273
MRO,64,5603,0.375
OSF,52,1155,0.634615384615385
HKL,1,0,1
NET,8,0,0.75
TWL,201,6758,0.477611940298507
1978,57,0,0.298245614035088
1980,61,5257,0.754098360655738
1981,42,0,0.30952380952381
1982,50,1501,0.54
Q1,43,1501,0.186046511627907
Q2,73,1155,0.520547945205479
Q3,54,0,0.648148148148148
Q4,40,4102,0.55
