CD851108501,1,DOVR,67,1985,1,MRO,MRO,TWL,211,11246,N
CD851108502,1,DOVR,71,1985,1,MRO,MRO,TWL,211,24567,N
CD851108503,1,DOVR,73,1985,1,MRO,MRO,TWL,211,15304,N
CD851108504,1,DOVR,69,1985,1,MRO,MRO,TWL,211,24444,N
CD851108505,1,DOVR,70,1985,1,MRO,MRO,TWL,211,37038,N
CD851108506,1,DOVR,65,1985,1,MRO,MRO,TWL,211,29737,N
CD851108507,1,DOVR,77,1985,1,MRO,MRO,TWL,211,24260,N
CD851108508,1,DOVR,75,1985,1,MRO,MRO,TWL,211,21829,N
CD851108509,1,DOVR,53,1985,1,MRO,MRO,TWL,211,42851,N
CD851108510,1,DOVR,58,1985,1,MRO,MRO,TWL,211,11772,N
CD851108511,1,DOVR,64,1985,1,MRO,MRO,TWL,211,53310,N
CD851108512,1,DOVR,71,1985,1,MRO,MRO,TWL,211,10682,N
CD851208513,1,DOVR,68,1985,2,MRO,MRO,TWL,211,26762,N
CD851208514,1,DOVR,67,1985,2,MRO,MRO,TWL,211,3623,N
CD851208515,1,DOVR,50,1985,2,MRO,MRO,TWL,211,8437,N
CD851208516,1,DOVR,73,1985,2,MRO,MRO,TWL,211,24711,N
CD851208517,1,DOVR,48,1985,2,MRO,MRO,TWL,211,17019,N
CD851208518,1,DOVR,49,1985,2,MRO,MRO,TWL,211,1856,N
CD851208519,1,DOVR,99,1985,2,MRO,MRO,TWL,211,12350,N
CD851208520,1,DOVR,47,1985,2,MRO,MRO,TWL,211,7613,N
CD851208521,1,DOVR,50,1985,2,MRO,MRO,TWL,211,13953,N
CD851208522,1,DOVR,56,1985,2,MRO,MRO,TWL,211,10374,N
CD851208523,1,DOVR,52,1985,2,MRO,MRO,TWL,211,7805,N
CD851208524,1,DOVR,60,1985,2,MRO,MRO,TWL,211,4131,N
CD851208525,1,DOVR,48,1985,2,MRO,MRO,TWL,211,3026,N
CD851308526,1,DOVR,50,1985,3,MRO,MRO,TWL,211,3926,N
CD851308527,1,DOVR,69,1985,3,MRO,MRO,TWL,211,11460,N
CD851308528,1,DOVR,58,1985,3,MRO,MRO,TWL,211,3317,N
CD851308529,1,DOVR,69,1985,3,MRO,MRO,TWL,211,951,N
CD851308530,1,DOVR,69,1985,3,MRO,MRO,TWL,211,2076,N
CD851308531,1,DOVR,58,1985,3,MRO,MRO,TWL,211,17218,N
CD851408532,1,DOVR,71,1985,4,MRO,MRO,TWL,211,23630,N
CD851408533,1,DOVR,58,1985,4,MRO,MRO,TWL,211,675,N
CD851408534,1,DOVR,87,1985,4,MRO,MRO,TWL,211,21707,N
CD851408535,1,DOVR,67,1985,4,MRO,MRO,TWL,211,19027,N
CD851408536,1,DOVR,69,1985,4,MRO,MRO,TWL,211,25232,N
CD851408537,1,DOVR,80,1985,4,MRO,MRO,TWL,211,22829,N
CD851408538,1,DOVR,70,1985,4,MRO,MRO,TWL,211,13995,N
CD851408539,1,DOVR,66,1985,4,MRO,MRO,TWL,211,5726,N
CD856108501,1,DOVR,70,1985,1,BRG,BRG,TWL,211,2689,N
CD856108502,1,DOVR,70,1985,1,BRG,BRG,TWL,211,8767,N
CD856108503,1,DOVR,74,1985,1,BRG,BRG,TWL,211,3866,N
CD856108504,1,DOVR,54,1985,1,BRG,BRG,TWL,211,4802,N
CD856108505,1,DOVR,92,1985,1,BRG,BRG,TWL,211,7762,N
CD856108506,1,DOVR,43,1985,1,BRG,BRG,TWL,211,7921,N
CD856108507,1,DOVR,50,1985,1,BRG,BRG,TWL,211,1476,N
CD856108508,1,DOVR,50,1985,1,BRG,BRG,TWL,211,1662,N
CD856108509,1,DOVR,78,1985,1,BRG,BRG,TWL,211,1120,N
CD856108510,1,DOVR,37,1985,1,BRG,BRG,TWL,211,1287,N
CD856108511,1,DOVR,78,1985,1,BRG,BRG,TWL,211,2408,N
CD856208512,1,DOVR,49,1985,2,BRG,BRG,TWL,211,360,N
CD856208513,1,DOVR,63,1985,2,BRG,BRG,TWL,211,9360,N
CD856208514,1,DOVR,80,1985,2,BRG,BRG,TWL,211,9842,N
CD856208515,1,DOVR,95,1985,2,BRG,BRG,TWL,211,10687,N
CD856208516,1,DOVR,78,1985,2,BRG,BRG,TWL,211,14026,N
CD856208517,1,DOVR,67,1985,2,BRG,BRG,TWL,211,15747,N
CD856208518,1,DOVR,67,1985,2,BRG,BRG,TWL,211,13116,N
CD856208519,1,DOVR,51,1985,2,BRG,BRG,TWL,211,7550,N
CD856208520,1,DOVR,98,1985,2,BRG,BRG,TWL,211,15380,N
CD856208521,1,DOVR,65,1985,2,BRG,BRG,TWL,211,6148,N
CD856208522,1,DOVR,67,1985,2,BRG,BRG,TWL,211,5002,N
