"","sampleNumber","clusterNumber","species","weight","year","qtr","calPort","portComplex","gearGroup","marketCategory","totalWeight","live"
"1","198300013",1,"CNRY",9,1983,1,"MRO","MRO","HKL",959,3625,"N"
"2","198300013",1,"COPP",25,1983,1,"MRO","MRO","HKL",959,3625,"N"
"3","198300013",1,"VRML",155,1983,1,"MRO","MRO","HKL",959,3625,"N"
"4","198300013",1,"YEYE",8,1983,1,"MRO","MRO","HKL",959,3625,"N"
"5","198300035",1,"BCAC",11,1983,1,"MRO","MRO","HKL",250,3507,"N"
"6","198300035",1,"CLPR",35,1983,1,"MRO","MRO","HKL",250,3507,"N"
"7","198300035",1,"SPKL",28,1983,1,"MRO","MRO","HKL",250,3507,"N"
"8","198300035",1,"WDOW",6,1983,1,"MRO","MRO","HKL",250,3507,"N"
"9","198300035",1,"YTRK",30,1983,1,"MRO","MRO","HKL",250,3507,"N"
"10","198300036",1,"CNRY",6,1983,1,"MRO","MRO","HKL",959,3276,"N"
"11","198300036",1,"GBLC",18,1983,1,"MRO","MRO","HKL",959,3276,"N"
"12","198300036",1,"GSPT",76,1983,1,"MRO","MRO","HKL",959,3276,"N"
"13","198300036",1,"GSRK",1,1983,1,"MRO","MRO","HKL",959,3276,"N"
"14","198300036",1,"STAR",1,1983,1,"MRO","MRO","HKL",959,3276,"N"
"15","198300036",1,"VRML",16,1983,1,"MRO","MRO","HKL",959,3276,"N"
"16","198300048",1,"BCAC",15,1983,1,"MRO","MRO","HKL",250,2424,"N"
"17","198300048",1,"CLPR",79,1983,1,"MRO","MRO","HKL",250,2424,"N"
"18","198300048",1,"SPKL",9,1983,1,"MRO","MRO","HKL",250,2424,"N"
"19","198300048",1,"WDOW",8,1983,1,"MRO","MRO","HKL",250,2424,"N"
"20","198300048",1,"YTRK",19,1983,1,"MRO","MRO","HKL",250,2424,"N"
"21","198300049",1,"BANK",4,1983,1,"MRO","MRO","HKL",250,2105,"N"
"22","198300049",1,"BCAC",143,1983,1,"MRO","MRO","HKL",250,2105,"N"
"23","198300049",1,"CLPR",21,1983,1,"MRO","MRO","HKL",250,2105,"N"
"24","198300049",1,"WDOW",1,1983,1,"MRO","MRO","HKL",250,2105,"N"
"25","198300050",1,"BCAC",95,1983,1,"MRO","MRO","HKL",250,1278,"N"
"26","198300050",1,"CLPR",2,1983,1,"MRO","MRO","HKL",250,1278,"N"
"27","198300050",1,"SPKL",26,1983,1,"MRO","MRO","HKL",250,1278,"N"
"28","198300050",1,"WDOW",35,1983,1,"MRO","MRO","HKL",250,1278,"N"
"29","198300051",1,"CNRY",18,1983,1,"MRO","MRO","HKL",959,3459,"N"
"30","198300051",1,"FLAG",2,1983,1,"MRO","MRO","HKL",959,3459,"N"
"31","198300051",1,"GSPT",2,1983,1,"MRO","MRO","HKL",959,3459,"N"
"32","198300051",1,"VRML",176,1983,1,"MRO","MRO","HKL",959,3459,"N"
"33","198300052",1,"BCAC",42,1983,1,"MRO","MRO","HKL",250,8819,"N"
"34","198300052",1,"BLUR",1,1983,1,"MRO","MRO","HKL",250,8819,"N"
"35","198300052",1,"SPKL",19,1983,1,"MRO","MRO","HKL",250,8819,"N"
"36","198300052",1,"WDOW",6,1983,1,"MRO","MRO","HKL",250,8819,"N"
"37","198300052",1,"YTRK",71,1983,1,"MRO","MRO","HKL",250,8819,"N"
"38","198300053",1,"CNRY",84,1983,1,"MRO","MRO","HKL",959,769,"N"
"39","198300053",1,"FLAG",6,1983,1,"MRO","MRO","HKL",959,769,"N"
"40","198300053",1,"GSRK",3,1983,1,"MRO","MRO","HKL",959,769,"N"
"41","198300053",1,"ROSY",1,1983,1,"MRO","MRO","HKL",959,769,"N"
"42","198300053",1,"STAR",4,1983,1,"MRO","MRO","HKL",959,769,"N"
"43","198300053",1,"VRML",58,1983,1,"MRO","MRO","HKL",959,769,"N"
"44","198300053",1,"YEYE",128,1983,1,"MRO","MRO","HKL",959,769,"N"
"45","198302011",1,"BCAC",46,1983,1,"MRO","MRO","TWL",956,23886,"N"
"46","198302011",1,"CLPR",7,1983,1,"MRO","MRO","TWL",956,23886,"N"
"47","198302011",1,"SNOS",1,1983,1,"MRO","MRO","TWL",956,23886,"N"
"48","198302012",1,"BANK",34,1983,1,"MRO","MRO","TWL",956,15171,"N"
"49","198302012",1,"SNOS",16,1983,1,"MRO","MRO","TWL",956,15171,"N"
"50","198302012",2,"BANK",45,1983,1,"MRO","MRO","TWL",956,15171,"N"
"51","198302012",2,"SNOS",5,1983,1,"MRO","MRO","TWL",956,15171,"N"
"52","198302013",1,"BCAC",47,1983,1,"AVL","MRO","TWL",250,2887,"N"
"53","198302013",1,"CLPR",3,1983,1,"AVL","MRO","TWL",250,2887,"N"
"54","198302014",1,"BCAC",45,1983,1,"AVL","MRO","TWL",956,5523,"N"
"55","198302014",1,"CLPR",5,1983,1,"AVL","MRO","TWL",956,5523,"N"
"56","198302014",1,"GSPT",1,1983,1,"AVL","MRO","TWL",956,5523,"N"
"57","198302015",1,"BANK",11,1983,1,"MRO","MRO","HKL",250,5957,"N"
"58","198302015",1,"BCAC",35,1983,1,"MRO","MRO","HKL",250,5957,"N"
"59","198302015",1,"CLPR",3,1983,1,"MRO","MRO","HKL",250,5957,"N"
"60","198302015",1,"WDOW",3,1983,1,"MRO","MRO","HKL",250,5957,"N"
"61","198302016",1,"BANK",21,1983,1,"MRO","MRO","TWL",250,20075,"N"
"62","198302016",1,"CLPR",1,1983,1,"MRO","MRO","TWL",250,20075,"N"
"63","198302016",1,"DBRK",25,1983,1,"MRO","MRO","TWL",250,20075,"N"
"64","198302016",1,"SNOS",2,1983,1,"MRO","MRO","TWL",250,20075,"N"
"65","198302016",2,"BANK",20,1983,1,"MRO","MRO","TWL",250,20075,"N"
"66","198302016",2,"BCAC",2,1983,1,"MRO","MRO","TWL",250,20075,"N"
"67","198302016",2,"CLPR",4,1983,1,"MRO","MRO","TWL",250,20075,"N"
"68","198302016",2,"DBRK",20,1983,1,"MRO","MRO","TWL",250,20075,"N"
"69","198302016",2,"SNOS",6,1983,1,"MRO","MRO","TWL",250,20075,"N"
"70","198302017",1,"BANK",21,1983,1,"MRO","MRO","TWL",250,12570,"N"
"71","198302017",1,"BCAC",10,1983,1,"MRO","MRO","TWL",250,12570,"N"
"72","198302017",1,"CLPR",4,1983,1,"MRO","MRO","TWL",250,12570,"N"
"73","198302017",1,"DBRK",10,1983,1,"MRO","MRO","TWL",250,12570,"N"
"74","198302017",1,"SNOS",6,1983,1,"MRO","MRO","TWL",250,12570,"N"
"75","198302017",2,"BANK",16,1983,1,"MRO","MRO","TWL",250,12570,"N"
"76","198302017",2,"BCAC",10,1983,1,"MRO","MRO","TWL",250,12570,"N"
"77","198302017",2,"BLGL",9,1983,1,"MRO","MRO","TWL",250,12570,"N"
"78","198302017",2,"DBRK",7,1983,1,"MRO","MRO","TWL",250,12570,"N"
"79","198302017",2,"SNOS",6,1983,1,"MRO","MRO","TWL",250,12570,"N"
"80","198302018",1,"BANK",3,1983,1,"MRO","MRO","TWL",250,20400,"N"
"81","198302018",1,"BCAC",37,1983,1,"MRO","MRO","TWL",250,20400,"N"
"82","198302018",1,"DBRK",3,1983,1,"MRO","MRO","TWL",250,20400,"N"
"83","198302018",1,"WDOW",4,1983,1,"MRO","MRO","TWL",250,20400,"N"
"84","198302018",2,"BANK",12,1983,1,"MRO","MRO","TWL",250,20400,"N"
"85","198302018",2,"BCAC",15,1983,1,"MRO","MRO","TWL",250,20400,"N"
"86","198302018",2,"DBRK",18,1983,1,"MRO","MRO","TWL",250,20400,"N"
"87","198302018",2,"SNOS",3,1983,1,"MRO","MRO","TWL",250,20400,"N"
"88","198302019",1,"BANK",48,1983,1,"MRO","MRO","TWL",961,9252,"N"
"89","198302019",1,"SNOS",3,1983,1,"MRO","MRO","TWL",961,9252,"N"
"90","198302019",2,"BANK",18,1983,1,"MRO","MRO","TWL",961,9252,"N"
"91","198302019",2,"BLGL",11,1983,1,"MRO","MRO","TWL",961,9252,"N"
"92","198302019",2,"CLPR",2,1983,1,"MRO","MRO","TWL",961,9252,"N"
"93","198302019",2,"SSPN",21,1983,1,"MRO","MRO","TWL",961,9252,"N"
"94","198302020",1,"SNOS",22,1983,1,"AVL","MRO","TWL",250,2178,"N"
"95","198302020",1,"SSPN",28,1983,1,"AVL","MRO","TWL",250,2178,"N"
"96","198302021",1,"BCAC",33,1983,1,"MRO","MRO","HKL",250,8819,"N"
"97","198302021",1,"SPKL",3,1983,1,"MRO","MRO","HKL",250,8819,"N"
"98","198302021",1,"YTRK",18,1983,1,"MRO","MRO","HKL",250,8819,"N"
"99","198302022",1,"BANK",3,1983,1,"AVL","MRO","TWL",956,10030,"N"
"100","198302022",1,"BCAC",45,1983,1,"AVL","MRO","TWL",956,10030,"N"
"101","198302022",1,"WDOW",4,1983,1,"AVL","MRO","TWL",956,10030,"N"
"102","198302022",2,"BCAC",36,1983,1,"AVL","MRO","TWL",956,10030,"N"
"103","198302022",2,"BRWN",14,1983,1,"AVL","MRO","TWL",956,10030,"N"
"104","198302023",1,"SNOS",38,1983,1,"MRO","MRO","TWL",961,1694,"N"
"105","198302024",1,"BANK",8,1983,2,"MRO","MRO","TWL",956,18358,"N"
"106","198302024",1,"SNOS",17,1983,2,"MRO","MRO","TWL",956,18358,"N"
"107","198302024",2,"BANK",14,1983,2,"MRO","MRO","TWL",956,18358,"N"
"108","198302024",2,"SNOS",11,1983,2,"MRO","MRO","TWL",956,18358,"N"
"109","198302025",1,"BCAC",15,1983,2,"AVL","MRO","TWL",956,10440,"N"
"110","198302025",1,"CLPR",34,1983,2,"AVL","MRO","TWL",956,10440,"N"
"111","198302025",1,"GSRK",1,1983,2,"AVL","MRO","TWL",956,10440,"N"
"112","198302026",1,"BCAC",32,1983,2,"AVL","MRO","TWL",956,16760,"N"
"113","198302026",1,"CLPR",18,1983,2,"AVL","MRO","TWL",956,16760,"N"
"114","198302026",2,"BCAC",21,1983,2,"AVL","MRO","TWL",956,16760,"N"
"115","198302026",2,"CLPR",30,1983,2,"AVL","MRO","TWL",956,16760,"N"
"116","198302026",2,"GSRK",1,1983,2,"AVL","MRO","TWL",956,16760,"N"
"117","198302027",1,"BANK",30,1983,2,"MRO","MRO","TWL",663,28777,"N"
"118","198302027",1,"BCAC",4,1983,2,"MRO","MRO","TWL",663,28777,"N"
"119","198302027",1,"BLGL",23,1983,2,"MRO","MRO","TWL",663,28777,"N"
"120","198302028",1,"BCAC",51,1983,2,"MRO","MRO","HKL",250,1458,"N"
"121","198302029",1,"BCAC",51,1983,2,"MRO","MRO","TWL",250,459,"N"
"122","198302030",1,"BCAC",30,1983,2,"MRO","MRO","TWL",250,1170,"N"
"123","198302030",1,"CLPR",20,1983,2,"MRO","MRO","TWL",250,1170,"N"
"124","198302031",1,"BCAC",47,1983,2,"AVL","MRO","TWL",956,3562,"N"
"125","198302031",1,"CLPR",3,1983,2,"AVL","MRO","TWL",956,3562,"N"
"126","198302032",1,"BCAC",34,1983,2,"AVL","MRO","HKL",250,2872,"N"
"127","198302032",1,"CLPR",17,1983,2,"AVL","MRO","HKL",250,2872,"N"
