margSTRK,n,landing,coverage
BDG,12,0,1
BRG,401,131512,0.992518703241895
CRS,60,10870,0.933333333333333
ERK,459,69041,0.956427015250545
MNT,163,28922,0.975460122699387
MRO,164,0,1
OSF,36,4362,1
HKL,124,0,1
NET,14,0,1
TWL,1157,244707,0.973206568712187
1978,124,25258,0.983870967741935
1979,102,67002,0.970588235294118
1980,271,65546,0.977859778597786
1981,237,6271,1
1982,249,21885,0.971887550200803
1983,312,58745,0.958333333333333
Q1,228,31354,0.991228070175439
Q2,390,42940,0.971794871794872
Q3,437,86472,0.963386727688787
Q4,240,83941,0.991666666666667
