margBANK,n,landing,coverage
BDG,12,0,1
BRG,401,1153005,0.952618453865337
CRS,60,0,1
ERK,459,94237,0.995642701525055
MNT,163,776171,0.914110429447853
MRO,164,441377,0.963414634146341
OSF,36,25496,1
HKL,124,100050,0.991935483870968
NET,14,45000,1
TWL,1157,2345236,0.96542783059637
1978,124,86843,0.967741935483871
1979,102,83366,0.990196078431373
1980,271,107956,0.992619926199262
1981,237,888719,0.945147679324895
1982,249,518271,0.971887550200803
1983,312,805131,0.955128205128205
Q1,228,708062,0.93859649122807
Q2,390,605867,0.971794871794872
Q3,437,371652,0.990846681922197
Q4,240,804705,0.95
