margBANK,n,landing,coverage
BDG,12,0,1
BRG,401,1153005,0.907730673316708
CRS,60,0,0.966666666666667
ERK,459,94237,0.962962962962963
MNT,163,776171,0.760736196319018
MRO,164,441377,0.725609756097561
OSF,36,25496,0.972222222222222
HKL,124,100050,0.741935483870968
NET,14,45000,0.785714285714286
TWL,1157,2345236,0.90838375108038
1978,124,86843,0.959677419354839
1979,102,83366,0.892156862745098
1980,271,107956,0.959409594095941
1981,237,888719,0.894514767932489
1982,249,518271,0.847389558232932
1983,312,805131,0.836538461538462
Q1,228,708062,0.815789473684211
Q2,390,605867,0.92051282051282
Q3,437,371652,0.933638443935927
Q4,240,804705,0.8375
