"marginalRDBD","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,58633,0.478527607361963
"CRS",50,25892,0.2
"ERK",323,273668,0.455108359133127
"MNT",108,0,0.453703703703704
"MRO",138,7743,0.514492753623188
"OSF",29,0,0.379310344827586
"HKL",110,7743,0.372727272727273
"NET",6,0,0.166666666666667
"TWL",867,358193,0.470588235294118
"1978",124,19636,0.0564516129032258
"1979",102,15938,0.509803921568627
"1980",271,48975,0.752767527675277
"1981",237,264477,0.434599156118143
"1982",249,16910,0.337349397590361
"Q1",162,133253,0.283950617283951
"Q2",289,61385,0.543252595155709
"Q3",340,151536,0.585294117647059
"Q4",192,19762,0.25
