margLCOD,n,landing,coverage
BDG,31,0,1
BRG,420,26912,0.997619047619048
CRS,73,0,1
ERK,533,0,1
MNT,249,71426,0.943775100401606
MRO,201,142506,0.915422885572139
OSF,65,0,1
HKL,128,9396,0.953125
NET,24,25746,0.75
TWL,1420,205702,0.985915492957746
1978,124,3899,0.967741935483871
1979,102,7166,0.96078431372549
1980,271,177136,0.940959409594096
1981,237,26525,0.991561181434599
1982,249,438,0.995983935742972
1983,312,23660,0.987179487179487
1984,277,2020,0.996389891696751
Q1,277,4993,0.989169675090253
Q2,441,72264,0.965986394557823
Q3,534,145056,0.97940074906367
Q4,320,18531,0.990625
