margURCK,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.125766871165644
CRS,50,44,0.4
ERK,323,0,0.117647058823529
MNT,108,0,0.268518518518519
MRO,138,0,0.41304347826087
OSF,29,0,0.310344827586207
HKL,110,0,0.6
NET,6,0,0.333333333333333
TWL,867,44,0.151095732410611
1978,124,0,0.338709677419355
1979,102,0,0.274509803921569
1980,271,44,0.125461254612546
1981,237,0,0.147679324894515
1982,249,0,0.240963855421687
Q1,162,0,0.179012345679012
Q2,289,0,0.200692041522491
Q3,340,44,0.185294117647059
Q4,192,0,0.255208333333333
