margEGLS,n,landing,coverage
BDG,31,0,0.258064516129032
BRG,420,0,0.419047619047619
CRS,73,0,0.0410958904109589
ERK,533,0,0.223264540337711
MNT,249,1398,0.421686746987952
MRO,201,0,0.318407960199005
OSF,65,0,0.169230769230769
HKL,128,0,0.3671875
NET,24,0,0.208333333333333
TWL,1420,1398,0.305633802816901
1978,124,0,0.266129032258065
1979,102,0,0.372549019607843
1980,271,1398,0.254612546125461
1981,237,0,0.729957805907173
1982,249,0,0.108433734939759
1983,312,0,0.176282051282051
1984,277,0,0.328519855595668
Q1,277,0,0.382671480144404
Q2,441,0,0.285714285714286
Q3,534,1398,0.267790262172285
Q4,320,0,0.346875
