margEGLS,n,landing,coverage
BDG,31,0,1
BRG,420,0,1
CRS,73,0,0.698630136986301
ERK,533,0,0.823639774859287
MNT,249,1398,0.991967871485944
MRO,201,0,0.930348258706468
OSF,65,0,0.876923076923077
HKL,128,0,0.921875
NET,24,0,1
TWL,1420,1398,0.908450704225352
1978,124,0,0.983870967741935
1979,102,0,0.931372549019608
1980,271,1398,0.944649446494465
1981,237,0,0.991561181434599
1982,249,0,0.807228915662651
1983,312,0,0.826923076923077
1984,277,0,0.956678700361011
Q1,277,0,0.978339350180505
Q2,441,0,0.981859410430839
Q3,534,1398,0.775280898876405
Q4,320,0,0.98125
