margBLGL,n,landing,coverage
BDG,31,3307,0.903225806451613
BRG,420,312596,0.916666666666667
CRS,73,637,0.986301369863014
ERK,533,158,0.99812382739212
MNT,249,191870,0.907630522088353
MRO,201,186538,0.935323383084577
OSF,65,59583,0.907692307692308
HKL,128,46463,0.984375
NET,24,114146,0.958333333333333
TWL,1420,594080,0.944366197183099
1978,124,4619,0.975806451612903
1979,102,53466,0.941176470588235
1980,271,131418,0.974169741697417
1981,237,18681,0.978902953586498
1982,249,171755,0.963855421686747
1983,312,298250,0.916666666666667
1984,277,76500,0.906137184115523
Q1,277,209787,0.924187725631769
Q2,441,113009,0.965986394557823
Q3,534,290659,0.958801498127341
Q4,320,141234,0.925
