margBLGL,n,landing,coverage
BDG,31,3307,0.903225806451613
BRG,420,312596,0.945238095238095
CRS,73,637,1
ERK,533,158,1
MNT,249,191870,0.939759036144578
MRO,201,186538,0.955223880597015
OSF,65,59583,0.953846153846154
HKL,128,46463,0.984375
NET,24,114146,0.958333333333333
TWL,1420,594080,0.964788732394366
1978,124,4619,0.991935483870968
1979,102,53466,0.96078431372549
1980,271,131418,0.977859778597786
1981,237,18681,0.978902953586498
1982,249,171755,0.971887550200803
1983,312,298250,0.948717948717949
1984,277,76500,0.949458483754513
Q1,277,209787,0.949458483754513
Q2,441,113009,0.972789115646258
Q3,534,290659,0.975655430711611
Q4,320,141234,0.95625
