margSNOS,n,landing,coverage
BDG,9,0,1
BRG,326,268508,0.941717791411043
CRS,50,70112,0.92
ERK,323,39151,0.990712074303406
MNT,108,37461,0.972222222222222
MRO,138,150858,0.992753623188406
OSF,29,197641,0.862068965517241
HKL,110,0,1
NET,6,0,1
TWL,867,763731,0.96078431372549
1978,124,3677,0.983870967741935
1979,102,19016,1
1980,271,223827,0.970479704797048
1981,237,308301,0.936708860759494
1982,249,208910,0.963855421686747
Q1,162,183959,0.938271604938272
Q2,289,182634,0.975778546712803
Q3,340,342259,0.973529411764706
Q4,192,54879,0.958333333333333
