"marginalBRWN","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,4315,0.846625766871166
"CRS",50,0,0.98
"ERK",323,1394,0.73374613003096
"MNT",108,0,0.990740740740741
"MRO",138,144491,0.992753623188406
"OSF",29,35728,0.793103448275862
"HKL",110,35728,0.990909090909091
"NET",6,0,1
"TWL",867,150200,0.829296424452134
"1978",124,0,0.75
"1979",102,0,1
"1980",271,181604,0.911439114391144
"1981",237,2930,0.772151898734177
"1982",249,1394,0.839357429718876
"Q1",162,0,0.962962962962963
"Q2",289,35728,0.795847750865052
"Q3",340,4315,0.85
"Q4",192,145885,0.828125
