"marginalBCAC","n","landing","coverage"
"BRG",6,172242,0.833333333333333
"MNT",88,4143365,0.943181818181818
"MRO",64,2733460,0.765625
"OSF",52,3117359,0.884615384615385
"HKL",1,0,1
"NET",8,145083,0.875
"TWL",201,10021343,0.870646766169154
"1978",57,1853861,0.947368421052632
"1980",61,4271945,0.819672131147541
"1981",42,2050399,0.761904761904762
"1982",50,1990221,0.94
"Q1",43,1875136,0.930232558139535
"Q2",73,3784254,0.89041095890411
"Q3",54,2761660,0.814814814814815
"Q4",40,1745376,0.85
