"marginalRDBD","n","landing","coverage"
"BRG",6,0,0.666666666666667
"MNT",88,0,0.602272727272727
"MRO",64,2654,0.46875
"OSF",52,2783,0.576923076923077
"HKL",1,0,1
"NET",8,0,0
"TWL",201,5437,0.577114427860697
"1978",57,2783,0.456140350877193
"1980",61,0,0.721311475409836
"1981",42,2654,0.428571428571429
"1982",50,0,0.58
"Q1",43,0,0.651162790697674
"Q2",73,0,0.465753424657534
"Q3",54,2783,0.62962962962963
"Q4",40,2654,0.525
