margBLUR,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.943181818181818
MRO,64,0,0.59375
OSF,52,0,0.884615384615385
HKL,1,0,1
NET,8,0,0.5
TWL,201,0,0.835820895522388
1978,57,0,0.859649122807018
1980,61,0,0.819672131147541
1981,42,0,0.642857142857143
1982,50,0,0.94
Q1,43,0,1
Q2,73,0,0.917808219178082
Q3,54,0,0.759259259259259
Q4,40,0,0.55
