margBLCK,n,landing,coverage
BDG,52,0,0.423076923076923
BRG,51,0,0.627450980392157
CRS,22,0,0.863636363636364
ERK,165,0,0.763636363636364
MNT,21,0,0.80952380952381
MRO,6,0,1
OSF,29,2382,0.793103448275862
NET,9,2382,0.888888888888889
TWL,337,0,0.70326409495549
1981,37,0,0.405405405405405
1982,92,0,0.847826086956522
1983,73,0,0.547945205479452
1984,69,0,0.811594202898551
1985,75,2382,0.746666666666667
Q1,108,0,0.768518518518518
Q2,79,0,0.810126582278481
Q3,90,2382,0.666666666666667
Q4,69,0,0.550724637681159
