margSPKL,n,landing,coverage
BDG,9,0,1
BRG,326,0,1
CRS,50,0,1
ERK,323,0,1
MNT,108,13256,0.981481481481482
MRO,138,29218,0.978260869565217
OSF,29,0,1
HKL,110,35331,0.981818181818182
NET,6,2555,0.833333333333333
TWL,867,4588,0.997693194925029
1978,124,2555,0.991935483870968
1979,102,9951,1
1980,271,1542,1
1981,237,12829,0.991561181434599
1982,249,15597,0.991967871485944
Q1,162,11599,1
Q2,289,6194,0.996539792387543
Q3,340,1856,1
Q4,192,22825,0.979166666666667
