margSPKL,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.361963190184049
CRS,50,0,0.96
ERK,323,0,0.1671826625387
MNT,108,13256,0.25
MRO,138,29218,0.514492753623188
OSF,29,0,0.793103448275862
HKL,110,35331,0.754545454545455
NET,6,2555,0.166666666666667
TWL,867,4588,0.306805074971165
1978,124,2555,0.516129032258065
1979,102,9951,0.382352941176471
1980,271,1542,0.180811808118081
1981,237,12829,0.443037974683544
1982,249,15597,0.373493975903614
Q1,162,11599,0.567901234567901
Q2,289,6194,0.408304498269896
Q3,340,1856,0.294117647058824
Q4,192,22825,0.208333333333333
