"marginalBLUR","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.840490797546012
"CRS",50,0,0.98
"ERK",323,0,0.637770897832817
"MNT",108,0,0.731481481481482
"MRO",138,0,0.58695652173913
"OSF",29,0,0.931034482758621
"HKL",110,0,0.8
"NET",6,0,0
"TWL",867,0,0.734717416378316
"1978",124,0,0.830645161290323
"1979",102,0,0.774509803921569
"1980",271,0,0.590405904059041
"1981",237,0,0.894514767932489
"1982",249,0,0.686746987951807
"Q1",162,0,0.932098765432099
"Q2",289,0,0.643598615916955
"Q3",340,0,0.779411764705882
"Q4",192,0,0.640625
