margVRML,n,landing,coverage
BDG,31,2300,0.967741935483871
BRG,420,66054,0.992857142857143
CRS,73,7346,0.945205479452055
ERK,533,60601,0.964352720450281
MNT,249,449,0.995983935742972
MRO,201,739375,0.786069651741294
OSF,65,5883,0.984615384615385
HKL,128,734996,0.671875
NET,24,0,1
TWL,1420,147012,0.97887323943662
1978,124,50847,0.983870967741935
1979,102,61012,0.941176470588235
1980,271,248223,0.940959409594096
1981,237,191821,0.932489451476793
1982,249,298617,0.927710843373494
1983,312,16933,0.990384615384615
1984,277,14555,0.96028880866426
Q1,277,319614,0.938628158844765
Q2,441,193163,0.950113378684807
Q3,534,245791,0.962546816479401
Q4,320,123440,0.959375
