"marginalFLAG","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,0.943181818181818
"MRO",64,0,1
"OSF",52,20292,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,20292,0.970149253731343
"1978",57,0,1
"1980",61,0,1
"1981",42,0,1
"1982",50,20292,0.88
"Q1",43,0,1
"Q2",73,0,1
"Q3",54,20292,0.888888888888889
"Q4",40,0,1
