margSSPN,n,landing,coverage
BDG,12,0,1
BRG,401,5376,0.99501246882793
CRS,60,0,0.983333333333333
ERK,459,273,0.995642701525055
MNT,163,1340,0.987730061349693
MRO,164,20608,0.98780487804878
OSF,36,1189,0.972222222222222
HKL,124,0,1
NET,14,0,1
TWL,1157,28786,0.991356957649092
1978,124,250,0.991935483870968
1979,102,0,1
1980,271,6565,0.988929889298893
1981,237,0,1
1982,249,18500,0.987951807228916
1983,312,3471,0.990384615384615
Q1,228,4637,0.991228070175439
Q2,390,19275,0.987179487179487
Q3,437,4874,0.993135011441648
Q4,240,0,1
