margSPKL,n,landing,coverage
BRG,6,0,0.666666666666667
MNT,88,945,0.795454545454545
MRO,64,30039,0.9375
OSF,52,0,0.634615384615385
HKL,1,0,1
NET,8,904,0.75
TWL,201,30080,0.796019900497512
1978,57,945,0.649122807017544
1980,61,0,0.868852459016393
1981,42,30039,0.904761904761905
1982,50,0,0.78
Q1,43,9729,0.906976744186046
Q2,73,415,0.863013698630137
Q3,54,20840,0.518518518518518
Q4,40,0,0.925
