"marginalCBZN","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.266871165644172
"CRS",50,0,0.02
"ERK",323,0,0.297213622291022
"MNT",108,0,0.175925925925926
"MRO",138,125,0.22463768115942
"OSF",29,0,0.206896551724138
"HKL",110,125,0.2
"NET",6,0,0.166666666666667
"TWL",867,0,0.250288350634371
"1978",124,0,0.258064516129032
"1979",102,125,0.382352941176471
"1980",271,0,0.25830258302583
"1981",237,0,0.194092827004219
"1982",249,0,0.21285140562249
"Q1",162,0,0.277777777777778
"Q2",289,125,0.231833910034602
"Q3",340,0,0.229411764705882
"Q4",192,0,0.260416666666667
