margCOPP,n,landing,coverage
BDG,56,0,0.75
BRG,457,0,0.962800875273523
CRS,82,90,0.902439024390244
ERK,594,14096,0.897306397306397
MNT,344,12672,0.991279069767442
MRO,266,11214,0.966165413533835
OSF,104,15228,0.990384615384615
HKL,138,28491,0.91304347826087
NET,47,18366,0.936170212765957
TWL,1718,6443,0.942956926658906
1978,124,0,0.725806451612903
1979,102,0,0.990196078431373
1980,271,19234,0.904059040590406
1981,237,0,0.915611814345992
1982,249,4452,0.987951807228916
1983,312,23564,0.974358974358974
1984,277,5960,0.978339350180505
1985,331,90,0.954682779456193
Q1,339,0,0.887905604719764
Q2,531,21012,0.984934086629002
Q3,645,29971,0.90077519379845
Q4,388,2317,0.992268041237113
