margBLCK,n,landing,coverage
BDG,27,0,0.0740740740740741
BRG,12,0,0.833333333333333
CRS,3,0,1
ERK,55,0,0.636363636363636
MNT,11,0,0.272727272727273
MRO,1,0,1
OSF,20,0,0.45
TWL,129,0,0.488372093023256
1981,37,0,0.162162162162162
1982,92,0,0.619565217391304
Q1,33,0,0.454545454545455
Q2,13,0,0.846153846153846
Q3,37,0,0.72972972972973
Q4,46,0,0.217391304347826
