"marginalSLGR","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.230061349693252
"CRS",50,0,0.36
"ERK",323,1894,0.356037151702786
"MNT",108,0,0.342592592592593
"MRO",138,0,0.442028985507246
"OSF",29,0,0.482758620689655
"HKL",110,0,0.481818181818182
"NET",6,0,0.166666666666667
"TWL",867,1894,0.311418685121107
"1978",124,0,0.153225806451613
"1979",102,1894,0.235294117647059
"1980",271,0,0.273062730627306
"1981",237,0,0.362869198312236
"1982",249,0,0.485943775100402
"Q1",162,1894,0.574074074074074
"Q2",289,0,0.183391003460208
"Q3",340,0,0.229411764705882
"Q4",192,0,0.520833333333333
